"","word","sentiment","n"
"1063","craze","negative",1
"1064","critic","negative",1
"1065","critics","negative",1
"1066","crude","negative",1
"1067","cruelty","negative",1
"1068","cry","negative",1
"1069","culpable","negative",1
"1070","cure","positive",1
"1071","damages","negative",1
"1072","damned","negative",1
"1073","daring","positive",1
"1074","dazzled","positive",1
"1075","dazzling","positive",1
"1076","decay","negative",1
"1077","deceiving","negative",1
"1078","decent","positive",1
"1079","declining","negative",1
"1080","defeated","positive",1
"1081","defect","negative",1
"1082","defender","positive",1
"1083","defensive","negative",1
"1084","degradation","negative",1
"1085","delaying","negative",1
"1086","demonize","negative",1
"1087","denial","negative",1
"1088","dent","negative",1
"1089","denying","negative",1
"1090","depressing","negative",1
"1091","desert","negative",1
"1092","despair","negative",1
"1093","desperate","negative",1
"1094","desperately","negative",1
"1095","destroyer","negative",1
"1096","deteriorate","negative",1
"1097","detriment","negative",1
"1098","dignity","positive",1
"1099","diligent","positive",1
"1100","din","negative",1
"1101","dings","negative",1
"1102","dinky","negative",1
"1103","dirt","negative",1
"1104","disadvantages","negative",1
"1105","disappointing","negative",1
"1106","discourage","negative",1
"1107","disgusting","negative",1
"1108","dishonesty","negative",1
"1109","dislike","negative",1
"1110","dismal","negative",1
"1111","disorder","negative",1
"1112","displace","negative",1
"1113","dissonance","negative",1
"1114","dissuade","negative",1
"1115","distinguished","positive",1
"1116","doubtful","negative",1
"1117","doubtless","positive",1
"1118","dreary","negative",1
"1119","dubious","negative",1
"1120","dumped","negative",1
"1121","eagerly","positive",1
"1122","economical","positive",1
"1123","educated","positive",1
"1124","effectiveness","positive",1
"1125","effortless","positive",1
"1126","effortlessly","positive",1
"1127","electrify","positive",1
"1128","embarrassment","negative",1
"1129","empathy","positive",1
"1130","encroach","negative",1
"1131","endorsement","positive",1
"1132","enhancement","positive",1
"1133","enlighten","positive",1
"1134","enlightenment","positive",1
"1135","enraged","negative",1
"1136","enslave","negative",1
"1137","entertaining","positive",1
"1138","enthusiast","positive",1
"1139","err","negative",1
"1140","erratically","negative",1
"1141","eruptions","negative",1
"1142","exceeds","positive",1
"1143","excel","positive",1
"1144","excellency","positive",1
"1145","excels","positive",1
"1146","excessive","negative",1
"1147","excite","positive",1
"1148","excites","positive",1
"1149","exhausted","negative",1
"1150","expire","negative",1
"1151","fabrication","negative",1
"1152","falsely","negative",1
"1153","fame","positive",1
"1154","fanatics","negative",1
"1155","fancy","positive",1
"1156","fascination","positive",1
"1157","fascist","negative",1
"1158","fashionable","positive",1
"1159","fat","negative",1
"1160","fave","positive",1
"1161","favored","positive",1
"1162","favour","positive",1
"1163","feeble","negative",1
"1164","fell","negative",1
"1165","fervor","positive",1
